,coeff,SE,p-value,CI_lower,CI_higher
Intercept,-9.49,0.99,0.00,-11.44,-7.54
"C(current_gender, Treatment(reference='F'))[T.M]",-0.07,0.14,0.64,-0.35,0.21
"C(academic_career, Treatment(reference='UG'))[T.GM]",0.31,0.39,0.42,-0.45,1.07
"C(academic_career, Treatment(reference='UG'))[T.GR]",-0.75,0.42,0.08,-1.57,0.08
"C(academic_career, Treatment(reference='UG'))[T.LA]",0.08,0.37,0.83,-0.64,0.80
"C(academic_career, Treatment(reference='UG'))[T.UG_A]",-0.24,0.42,0.56,-1.06,0.58
"C(academic_career, Treatment(reference='UG'))[T.UG_G]",0.88,0.16,0.00,0.56,1.19
"C(academic_career, Treatment(reference='UG'))[T.VM]",-0.54,0.59,0.36,-1.69,0.61
"C(day_idx, Treatment(reference=0))[T.1]",2.40,1.04,0.02,0.35,4.45
"C(day_idx, Treatment(reference=0))[T.2]",2.89,1.03,0.00,0.87,4.90
"C(day_idx, Treatment(reference=0))[T.3]",2.48,1.04,0.02,0.44,4.52
"C(day_idx, Treatment(reference=0))[T.4]",2.99,1.03,0.00,0.98,5.00
"C(day_idx, Treatment(reference=0))[T.5]",1.38,1.12,0.22,-0.82,3.58
"C(day_idx, Treatment(reference=0))[T.6]",2.30,1.05,0.03,0.23,4.36
"C(day_idx, Treatment(reference=0))[T.7]",1.09,1.16,0.34,-1.17,3.36
"C(day_idx, Treatment(reference=0))[T.8]",2.55,1.04,0.01,0.51,4.60
"C(day_idx, Treatment(reference=0))[T.9]",3.39,1.02,0.00,1.39,5.39
"C(day_idx, Treatment(reference=0))[T.10]",3.25,1.02,0.00,1.25,5.26
"C(day_idx, Treatment(reference=0))[T.11]",3.76,1.02,0.00,1.77,5.75
"C(day_idx, Treatment(reference=0))[T.12]",1.10,1.16,0.34,-1.18,3.38
"C(day_idx, Treatment(reference=0))[T.13]",1.10,1.16,0.34,-1.17,3.36
class_positivity,0.27,0.67,0.69,-1.05,1.59
